,pandemic_infected,pandemic_recovered,pandemic_susceptible
429,0.00962125,0.4341575,0.50174
430,0.00900375,0.43792875,0.50048875
431,0.00851125,0.44151999999999997,0.4992625
432,0.0081175,0.444985,0.49811125
433,0.00757875,0.4483375,0.49704750000000003
434,0.00715875,0.4514875,0.49601625
435,0.0066974999999999995,0.45445125,0.49505625
436,0.006425,0.45729,0.4941475
437,0.0060825,0.46005,0.49323625
438,0.0058075,0.46267749999999996,0.49238625
439,0.00541,0.46519499999999997,0.491625
440,0.00507,0.46759625,0.4909075
441,0.0047925,0.469735,0.49022
442,0.00457625,0.47192875,0.48957375
443,0.00425625,0.473955,0.48895
444,0.00404,0.47585,0.48835500000000004
445,0.00375375,0.4777075,0.48783875
446,0.0034825000000000004,0.4794825,0.48733625
447,0.0033200000000000005,0.48110625,0.48681499999999994
448,0.00312125,0.48273125,0.48636499999999994
449,0.00295,0.48424375,0.48588000000000003
450,0.00287375,0.48567,0.48541125
451,0.00278,0.4870125,0.48494125
452,0.0026725,0.48830375,0.4844875
453,0.0025625,0.4895575,0.48407375
454,0.00246,0.4907025,0.483675
455,0.002365,0.49186499999999994,0.48330500000000004
456,0.0022225,0.492965,0.48296999999999995
457,0.0021675,0.49402125,0.48258249999999997
458,0.0021149999999999997,0.49494499999999997,0.48220125
459,0.00216875,0.495925,0.48177
460,0.00214125,0.49684375,0.48137125
461,0.00212625,0.49777375,0.48093
462,0.0021024999999999998,0.49859499999999995,0.48055625
463,0.002075,0.49944125,0.48018999999999995
464,0.00205125,0.500205,0.47979875
465,0.00197875,0.5009575,0.47945
466,0.00194875,0.5016625,0.47907875
467,0.00198375,0.5023325,0.4786875
468,0.00193625,0.50295875,0.478325
469,0.00194375,0.5036149999999999,0.47793
470,0.001945,0.50424875,0.47751875
471,0.0019649999999999997,0.504845,0.47710625
472,0.00197875,0.50547875,0.47671
473,0.001945,0.50610375,0.47635500000000003
474,0.0020350000000000004,0.50667375,0.4759125
475,0.00205875,0.507255,0.47550749999999997
476,0.00204125,0.5077825,0.47510875
477,0.0020399999999999997,0.50833125,0.474725
478,0.00200125,0.50884625,0.47437250000000003
479,0.00195375,0.50936,0.47401375
480,0.00192125,0.50985875,0.473685
481,0.00187375,0.5103274999999999,0.47333375
482,0.00180375,0.51080875,0.4730125
483,0.0018100000000000002,0.51125125,0.47266
484,0.00172875,0.5117225000000001,0.472365
485,0.00168125,0.51218125,0.47209125
486,0.0016350000000000002,0.51259125,0.47183500000000006
487,0.0015675,0.513025,0.47157625
488,0.0015175,0.51341,0.47131000000000006
489,0.00137625,0.5138625,0.47110875
490,0.0013475,0.514255,0.4708675
