,emojitracker-twitter-smiling_cat_face_with_open_mouth,emojitracker-twitter-crying_cat_face,emojitracker-twitter-cat_face_with_wry_smile,emojitracker-twitter-cat_face_with_tears_of_joy,emojitracker-twitter-cat_face,emojitracker-twitter-kissing_cat_face_with_closed_eyes,emojitracker-twitter-grinning_cat_face_with_smiling_eyes,emojitracker-twitter-pouting_cat_face,emojitracker-twitter-smiling_cat_face_with_heart-shaped_eyes
319,2.0,6.0,19.0,31.0,5.0,5.0,10.0,4.0,18.0
320,2.0,10.0,13.0,14.0,10.0,5.0,13.0,6.0,21.0
321,6.0,12.0,20.0,21.0,6.0,8.0,9.0,15.0,30.0
322,5.0,23.0,17.0,25.0,3.0,9.0,13.0,12.0,28.0
323,3.0,17.0,14.0,13.0,8.0,13.0,8.0,15.0,26.0
324,5.0,13.0,16.0,17.0,8.0,10.0,7.0,7.0,18.0
325,4.0,13.0,19.0,21.0,4.0,10.0,4.0,6.0,18.0
326,5.0,18.0,11.0,22.0,6.0,11.0,4.0,10.0,14.0
327,1.0,8.0,9.0,24.0,9.0,11.0,9.0,11.0,21.0
328,2.0,17.0,18.0,21.0,4.0,10.0,5.0,11.0,20.0
329,3.0,13.0,18.0,18.0,4.0,9.0,5.0,13.0,22.0
330,8.0,19.0,13.0,18.0,4.0,12.0,6.0,11.0,16.0
331,3.0,11.0,20.0,19.0,5.0,15.0,8.0,11.0,23.0
332,4.0,18.0,21.0,29.0,2.0,15.0,5.0,8.0,19.0
333,3.0,15.0,16.0,19.0,9.0,10.0,6.0,10.0,34.0
334,6.0,15.0,15.0,19.0,3.0,9.0,6.0,9.0,28.0
335,2.0,11.0,16.0,24.0,8.0,9.0,4.0,10.0,28.0
336,7.0,15.0,18.0,15.0,5.0,10.0,5.0,16.0,20.0
337,9.0,9.0,19.0,24.0,13.0,12.0,7.0,14.0,17.0
338,6.0,12.0,17.0,19.0,5.0,7.0,4.0,10.0,24.0
