,electricity-fueltype-nyiso-hydro,electricity-fueltype-nyiso-nuclear,electricity-fueltype-nyiso-other_renewables,electricity-fueltype-nyiso-wind,electricity-fueltype-nyiso-dual_fuel,electricity-fueltype-nyiso-natural_gas
341,3301.0,4399.0,269.0,12.0,4378.0,3203.0
342,3301.0,4399.0,269.0,12.0,4378.0,3203.0
343,3266.0,4400.0,272.0,10.0,4330.0,3219.0
344,3287.0,4399.0,270.0,10.0,4325.0,3236.0
345,3287.0,4399.0,270.0,10.0,4325.0,3236.0
346,3279.0,4400.0,268.0,9.0,4259.0,3234.0
347,3279.0,4400.0,268.0,9.0,4259.0,3234.0
348,3289.0,4398.0,272.0,6.0,4252.0,3247.0
349,3281.0,4400.0,274.0,4.0,4223.0,3254.0
350,3281.0,4400.0,274.0,4.0,4223.0,3254.0
351,3311.0,4400.0,279.0,5.0,4208.0,3262.0
352,3339.0,4399.0,280.0,5.0,4216.0,3290.0
353,3330.0,4400.0,274.0,4.0,4269.0,3292.0
354,3308.0,4401.0,273.0,3.0,4302.0,3289.0
355,3312.0,4400.0,269.0,3.0,4282.0,3295.0
356,3308.0,4399.0,265.0,3.0,4292.0,3313.0
357,3313.0,4398.0,269.0,3.0,4347.0,3326.0
358,3313.0,4398.0,269.0,3.0,4347.0,3326.0
359,3302.0,4400.0,266.0,6.0,4387.0,3340.0
360,3282.0,4399.0,266.0,7.0,4359.0,3314.0
361,3302.0,4401.0,265.0,6.0,4370.0,3299.0
362,3302.0,4401.0,265.0,6.0,4370.0,3299.0
363,3369.0,4401.0,266.0,5.0,4354.0,3292.0
364,3405.0,4399.0,265.0,3.0,4463.0,3327.0
365,3398.0,4401.0,263.0,3.0,4541.0,3310.0
366,3398.0,4401.0,263.0,3.0,4541.0,3310.0
367,3429.0,4399.0,262.0,3.0,4619.0,3336.0
368,3443.0,4400.0,258.0,4.0,4668.0,3352.0
369,3439.0,4399.0,263.0,5.0,4733.0,3376.0
370,3454.0,4399.0,262.0,6.0,4791.0,3386.0
371,3514.0,4398.0,266.0,6.0,4842.0,3386.0
372,3571.0,4400.0,265.0,6.0,4916.0,3361.0
373,3578.0,4399.0,264.0,7.0,4996.0,3350.0
374,3762.0,4401.0,263.0,8.0,5046.0,3348.0
375,3762.0,4401.0,263.0,8.0,5046.0,3348.0
376,3887.0,4399.0,261.0,8.0,5003.0,3318.0
377,3959.0,4399.0,258.0,9.0,5030.0,3335.0
378,3991.0,4399.0,260.0,10.0,5019.0,3359.0
