,hospital-er-wait-minutes-piedmont_fayette,hospital-er-wait-minutes-piedmont_newton,hospital-er-wait-minutes-piedmont_mountside_ellijay,hospital-er-wait-minutes-piedmont_newnan,hospital-er-wait-minutes-piedmont_athens,hospital-er-wait-minutes-piedmont_henry,hospital-er-wait-minutes-piedmont_walton,hospital-er-wait-minutes-piedmont_mountainside,hospital-er-wait-minutes-piedmont_rockdale,hospital-er-wait-minutes-piedmont_atlanta
154,73.0,62.0,43.0,77.0,4.0,182.0,5.0,49.0,28.0,28.0
155,73.0,62.0,43.0,77.0,4.0,182.0,5.0,49.0,28.0,28.0
156,69.0,72.0,31.0,91.0,4.0,250.0,1.0,69.0,24.0,35.0
157,69.0,72.0,31.0,91.0,4.0,250.0,1.0,69.0,24.0,35.0
158,56.0,102.0,46.0,102.0,17.0,195.0,0.0,18.0,28.0,38.0
159,56.0,102.0,46.0,102.0,17.0,195.0,0.0,18.0,28.0,38.0
160,53.0,135.0,46.0,97.0,21.0,168.0,1.0,20.0,9.0,35.0
161,53.0,135.0,46.0,97.0,21.0,168.0,1.0,20.0,9.0,35.0
162,40.0,104.0,4.0,67.0,19.0,174.0,1.0,24.0,18.0,12.0
163,40.0,104.0,4.0,67.0,19.0,174.0,1.0,24.0,18.0,12.0
164,35.0,81.0,10.0,40.0,18.0,167.0,2.0,0.0,23.0,8.0
165,35.0,81.0,10.0,40.0,18.0,167.0,2.0,0.0,23.0,8.0
166,45.0,37.0,10.0,34.0,25.0,156.0,8.0,0.0,14.0,8.0
167,45.0,37.0,10.0,34.0,25.0,156.0,8.0,0.0,14.0,8.0
168,50.0,37.0,0.0,50.0,18.0,156.0,8.0,7.0,20.0,13.0
169,50.0,37.0,0.0,50.0,18.0,156.0,8.0,7.0,20.0,13.0
170,50.0,21.0,0.0,45.0,13.0,129.0,0.0,19.0,32.0,0.0
171,50.0,21.0,0.0,45.0,13.0,129.0,0.0,19.0,32.0,0.0
172,69.0,41.0,0.0,13.0,14.0,66.0,0.0,19.0,40.0,2.0
173,69.0,41.0,0.0,13.0,14.0,66.0,0.0,19.0,40.0,2.0
174,22.0,62.0,0.0,16.0,25.0,33.0,3.0,22.0,50.0,4.0
175,22.0,62.0,0.0,16.0,25.0,33.0,3.0,22.0,50.0,4.0
176,33.0,77.0,0.0,15.0,32.0,46.0,2.0,22.0,72.0,5.0
177,33.0,77.0,0.0,15.0,32.0,46.0,2.0,22.0,72.0,5.0
178,55.0,145.0,0.0,10.0,35.0,67.0,0.0,0.0,89.0,12.0
179,55.0,145.0,0.0,10.0,35.0,67.0,0.0,0.0,89.0,12.0
180,64.0,82.0,7.0,12.0,2.0,66.0,2.0,0.0,86.0,16.0
181,64.0,82.0,7.0,12.0,2.0,66.0,2.0,0.0,86.0,16.0
182,77.0,93.0,37.0,16.0,8.0,70.0,2.0,24.0,47.0,12.0
183,77.0,93.0,37.0,16.0,8.0,70.0,2.0,24.0,47.0,12.0
184,62.0,93.0,67.0,12.0,10.0,73.0,17.0,36.0,57.0,22.0
185,62.0,93.0,67.0,12.0,10.0,73.0,17.0,36.0,57.0,22.0
186,43.0,0.0,98.0,9.0,12.0,39.0,14.0,36.0,57.0,19.0
187,43.0,0.0,98.0,9.0,12.0,39.0,14.0,36.0,57.0,19.0
188,37.0,12.0,56.0,7.0,12.0,32.0,11.0,14.0,8.0,17.0
189,37.0,12.0,56.0,7.0,12.0,32.0,11.0,14.0,8.0,17.0
190,28.0,17.0,38.0,7.0,17.0,42.0,8.0,20.0,12.0,34.0
191,28.0,17.0,38.0,7.0,17.0,42.0,8.0,20.0,12.0,34.0
192,25.0,22.0,19.0,9.0,25.0,43.0,10.0,23.0,17.0,19.0
193,25.0,22.0,19.0,9.0,25.0,43.0,10.0,23.0,17.0,19.0
194,36.0,17.0,23.0,5.0,28.0,43.0,3.0,27.0,16.0,11.0
195,36.0,17.0,23.0,5.0,28.0,43.0,3.0,27.0,16.0,11.0
196,40.0,9.0,17.0,4.0,30.0,46.0,7.0,34.0,20.0,10.0
197,40.0,9.0,17.0,4.0,30.0,46.0,7.0,34.0,20.0,10.0
198,36.0,16.0,18.0,5.0,31.0,32.0,9.0,36.0,18.0,8.0
199,36.0,16.0,18.0,5.0,31.0,32.0,9.0,36.0,18.0,8.0
200,35.0,16.0,17.0,9.0,42.0,42.0,2.0,37.0,16.0,11.0
201,35.0,16.0,17.0,9.0,42.0,42.0,2.0,37.0,16.0,11.0
202,47.0,19.0,35.0,10.0,50.0,42.0,2.0,51.0,26.0,12.0
203,47.0,19.0,35.0,10.0,50.0,42.0,2.0,51.0,26.0,12.0
204,45.0,21.0,83.0,13.0,65.0,49.0,1.0,49.0,15.0,12.0
205,45.0,21.0,83.0,13.0,65.0,49.0,1.0,49.0,15.0,12.0
