,electricity-fueltype-nyiso-hydro,electricity-fueltype-nyiso-nuclear,electricity-fueltype-nyiso-other_renewables,electricity-fueltype-nyiso-dual_fuel,electricity-fueltype-nyiso-natural_gas,electricity-fueltype-nyiso-other_fossil_fuels,electricity-fueltype-nyiso-wind
280,2668.0,4385.0,244.0,4414.0,3003.0,2.0,3.0
281,2693.0,4386.0,245.0,4435.0,2972.0,2.0,2.0
282,2715.0,4386.0,246.0,4455.0,2967.0,2.0,2.0
283,2695.0,4385.0,246.0,4448.0,3001.0,2.0,2.0
284,2686.0,4384.0,244.0,4384.0,3018.0,2.0,1.0
285,2658.0,4386.0,244.0,4382.0,3025.0,2.0,2.0
286,2641.0,4384.0,242.0,4367.0,3030.0,2.0,1.0
287,2612.0,4384.0,240.0,4354.0,3036.0,2.0,1.0
288,2668.0,4384.0,237.0,4377.0,3036.0,2.0,1.0
289,2699.0,4387.0,233.0,4500.0,3052.0,2.0,1.0
290,2689.0,4384.0,231.0,4626.0,3116.0,2.0,0.0
291,2705.0,4384.0,236.0,4620.0,3178.0,2.0,0.0
292,2717.0,4385.0,245.0,4580.0,3165.0,2.0,0.0
293,2728.0,4385.0,248.0,4563.0,3145.0,2.0,0.0
294,2735.0,4384.0,248.0,4561.0,3149.0,2.0,1.0
295,2780.0,4384.0,247.0,4554.0,3171.0,2.0,1.0
296,2774.0,4383.0,245.0,4578.0,3219.0,2.0,0.0
297,2800.0,4383.0,245.0,4589.0,3234.0,2.0,0.0
298,2820.0,4384.0,245.0,4588.0,3233.0,2.0,0.0
299,2878.0,4383.0,248.0,4598.0,3237.0,2.0,0.0
300,2880.0,4385.0,247.0,4567.0,3269.0,2.0,0.0
301,2928.0,4383.0,246.0,4498.0,3331.0,2.0,0.0
302,2945.0,4381.0,245.0,4447.0,3372.0,2.0,0.0
303,2986.0,4381.0,248.0,4441.0,3398.0,2.0,0.0
304,3074.0,4382.0,249.0,4426.0,3412.0,2.0,0.0
305,3139.0,4382.0,250.0,4409.0,3432.0,2.0,0.0
306,3099.0,4384.0,249.0,4384.0,3457.0,2.0,0.0
307,3092.0,4382.0,249.0,4373.0,3465.0,2.0,0.0
308,3095.0,4383.0,251.0,4365.0,3466.0,2.0,0.0
309,3095.0,4383.0,251.0,4365.0,3466.0,2.0,0.0
310,3248.0,4385.0,247.0,4350.0,3466.0,2.0,0.0
311,3245.0,4385.0,248.0,4366.0,3466.0,2.0,0.0
312,3220.0,4385.0,247.0,4395.0,3528.0,2.0,0.0
313,3259.0,4383.0,245.0,4400.0,3555.0,2.0,0.0
314,3261.0,4385.0,248.0,4454.0,3556.0,2.0,0.0
315,3248.0,4385.0,251.0,4460.0,3557.0,2.0,0.0
316,3261.0,4385.0,248.0,4516.0,3562.0,2.0,0.0
317,3221.0,4385.0,250.0,4521.0,3582.0,2.0,0.0
318,3211.0,4383.0,252.0,4464.0,3589.0,2.0,0.0
319,3188.0,4384.0,252.0,4503.0,3589.0,2.0,0.0
320,3185.0,4384.0,254.0,4548.0,3592.0,2.0,0.0
321,3208.0,4385.0,254.0,4548.0,3591.0,2.0,0.0
322,3261.0,4385.0,251.0,4535.0,3587.0,2.0,0.0
323,3280.0,4384.0,254.0,4515.0,3585.0,2.0,0.0
324,3251.0,4384.0,254.0,4495.0,3538.0,2.0,0.0
325,3177.0,4385.0,255.0,4423.0,3474.0,2.0,0.0
326,3033.0,4385.0,255.0,4367.0,3478.0,2.0,0.0
327,3029.0,4386.0,255.0,4420.0,3464.0,2.0,0.0
328,3063.0,4384.0,255.0,4363.0,3464.0,2.0,0.0
329,3075.0,4384.0,255.0,4412.0,3462.0,2.0,0.0
330,3060.0,4384.0,254.0,4376.0,3457.0,2.0,0.0
331,3058.0,4385.0,254.0,4398.0,3457.0,2.0,1.0
332,3087.0,4383.0,253.0,4409.0,3462.0,2.0,1.0
333,3103.0,4383.0,249.0,4411.0,3453.0,2.0,0.0
334,3111.0,4386.0,248.0,4427.0,3424.0,2.0,0.0
335,3099.0,4386.0,250.0,4445.0,3431.0,2.0,0.0
336,3110.0,4385.0,252.0,4443.0,3417.0,2.0,0.0
337,3126.0,4386.0,252.0,4438.0,3392.0,2.0,0.0
338,3110.0,4383.0,252.0,4418.0,3392.0,2.0,0.0
339,3104.0,4383.0,257.0,4406.0,3393.0,2.0,0.0
340,3106.0,4384.0,258.0,4358.0,3380.0,2.0,0.0
341,3110.0,4383.0,259.0,4333.0,3374.0,2.0,0.0
342,3120.0,4384.0,254.0,4337.0,3369.0,2.0,0.0
343,3118.0,4384.0,253.0,4369.0,3371.0,2.0,0.0
344,3135.0,4385.0,254.0,4375.0,3372.0,2.0,0.0
345,3115.0,4382.0,250.0,4364.0,3378.0,2.0,0.0
346,3068.0,4385.0,251.0,4341.0,3394.0,2.0,0.0
347,3045.0,4385.0,250.0,4313.0,3394.0,2.0,0.0
348,3086.0,4384.0,247.0,4301.0,3356.0,2.0,0.0
349,3125.0,4383.0,248.0,4323.0,3311.0,2.0,0.0
350,3140.0,4382.0,248.0,4347.0,3312.0,2.0,0.0
351,3137.0,4384.0,253.0,4325.0,3322.0,2.0,1.0
352,3143.0,4382.0,251.0,4323.0,3335.0,2.0,2.0
353,3149.0,4384.0,250.0,4330.0,3347.0,2.0,2.0
354,3147.0,4385.0,257.0,4323.0,3352.0,2.0,3.0
355,3131.0,4385.0,255.0,4321.0,3335.0,2.0,4.0
356,3097.0,4386.0,257.0,4332.0,3320.0,2.0,5.0
357,3098.0,4386.0,256.0,4348.0,3339.0,2.0,3.0
358,3083.0,4385.0,255.0,4369.0,3347.0,2.0,4.0
359,3083.0,4383.0,252.0,4370.0,3346.0,2.0,5.0
360,3062.0,4383.0,253.0,4329.0,3347.0,2.0,5.0
361,3050.0,4382.0,253.0,4249.0,3356.0,2.0,3.0
362,3071.0,4386.0,252.0,4218.0,3336.0,2.0,4.0
363,3094.0,4385.0,249.0,4203.0,3321.0,2.0,3.0
364,3063.0,4386.0,248.0,4202.0,3327.0,2.0,3.0
365,3097.0,4383.0,248.0,4200.0,3349.0,2.0,2.0
366,3103.0,4384.0,251.0,4185.0,3346.0,2.0,2.0
367,3069.0,4384.0,245.0,4178.0,3357.0,2.0,2.0
368,3090.0,4383.0,239.0,4181.0,3367.0,2.0,2.0
369,3094.0,4385.0,242.0,4200.0,3370.0,2.0,2.0
370,3089.0,4384.0,245.0,4235.0,3374.0,2.0,3.0
371,3067.0,4385.0,249.0,4277.0,3372.0,2.0,3.0
372,3070.0,4384.0,248.0,4270.0,3376.0,2.0,3.0
373,3137.0,4383.0,248.0,4247.0,3382.0,2.0,6.0
374,3185.0,4382.0,250.0,4270.0,3396.0,2.0,7.0
375,3184.0,4385.0,248.0,4286.0,3384.0,2.0,9.0
376,3184.0,4384.0,248.0,4263.0,3383.0,2.0,10.0
