,emojitracker-twitter-smiling_face_with_smiling_eyes,emojitracker-twitter-smiling_face_with_open_mouth_and_smiling_eyes,emojitracker-twitter-smiling_face_with_heart-shaped_eyes,emojitracker-twitter-smiling_face_with_open_mouth_and_tightly-closed_eyes
536,144.0,42.0,295.0,57.0
537,149.0,56.0,285.0,64.0
538,183.0,42.0,315.0,59.0
539,159.0,53.0,339.0,63.0
540,164.0,53.0,285.0,50.0
541,148.0,50.0,367.0,70.0
542,145.0,43.0,291.0,54.0
543,139.0,57.0,287.0,51.0
544,165.0,52.0,309.0,59.0
545,132.0,50.0,300.0,56.0
546,131.0,48.0,291.0,49.0
547,147.0,53.0,303.0,67.0
548,161.0,42.0,297.0,61.0
549,149.0,53.0,314.0,70.0
550,172.0,50.0,276.0,62.0
551,154.0,68.0,278.0,59.0
552,140.0,50.0,283.0,61.0
553,138.0,46.0,253.0,52.0
554,149.0,46.0,293.0,74.0
555,152.0,48.0,315.0,56.0
556,162.0,52.0,298.0,54.0
557,157.0,46.0,313.0,57.0
558,136.0,42.0,304.0,65.0
559,148.0,52.0,295.0,59.0
560,140.0,50.0,297.0,50.0
561,135.0,33.0,299.0,56.0
562,137.0,38.0,298.0,66.0
563,145.0,42.0,328.0,69.0
564,169.0,40.0,329.0,66.0
565,156.0,55.0,310.0,56.0
566,153.0,55.0,272.0,49.0
567,155.0,48.0,309.0,45.0
568,133.0,43.0,276.0,49.0
569,154.0,59.0,318.0,48.0
570,157.0,62.0,266.0,55.0
571,144.0,49.0,299.0,81.0
572,139.0,54.0,276.0,65.0
573,140.0,48.0,239.0,55.0
574,164.0,53.0,290.0,58.0
575,149.0,40.0,290.0,65.0
576,139.0,55.0,299.0,57.0
577,142.0,50.0,273.0,50.0
578,163.0,47.0,306.0,60.0
579,159.0,52.0,272.0,58.0
580,126.0,44.0,287.0,53.0
581,136.0,55.0,294.0,55.0
582,149.0,41.0,288.0,59.0
583,142.0,49.0,286.0,72.0
584,155.0,44.0,260.0,63.0
585,150.0,39.0,284.0,48.0
586,182.0,62.0,291.0,53.0
587,163.0,43.0,353.0,62.0
588,144.0,47.0,289.0,52.0
589,147.0,61.0,304.0,51.0
590,143.0,50.0,290.0,51.0
591,154.0,44.0,276.0,56.0
592,130.0,47.0,303.0,56.0
593,155.0,52.0,280.0,58.0
594,151.0,43.0,323.0,45.0
595,157.0,45.0,297.0,58.0
596,161.0,51.0,325.0,50.0
597,159.0,37.0,298.0,46.0
598,149.0,36.0,311.0,48.0
599,138.0,37.0,320.0,52.0
600,141.0,48.0,271.0,43.0
601,136.0,45.0,282.0,44.0
602,142.0,34.0,305.0,51.0
603,133.0,42.0,305.0,56.0
604,156.0,29.0,274.0,54.0
605,149.0,49.0,265.0,53.0
606,149.0,37.0,278.0,43.0
607,142.0,47.0,294.0,47.0
608,135.0,49.0,295.0,48.0
609,128.0,52.0,285.0,63.0
610,146.0,47.0,282.0,52.0
611,128.0,45.0,262.0,60.0
612,141.0,50.0,287.0,54.0
613,124.0,53.0,283.0,53.0
614,142.0,41.0,281.0,51.0
615,156.0,40.0,297.0,55.0
616,144.0,42.0,296.0,47.0
617,129.0,47.0,282.0,52.0
618,147.0,55.0,283.0,43.0
619,141.0,43.0,296.0,58.0
620,136.0,41.0,284.0,41.0
621,149.0,48.0,293.0,47.0
622,139.0,48.0,279.0,56.0
623,128.0,43.0,254.0,60.0
624,124.0,46.0,291.0,59.0
625,147.0,44.0,276.0,40.0
626,138.0,49.0,274.0,61.0
627,139.0,55.0,299.0,48.0
628,136.0,56.0,283.0,62.0
629,154.0,48.0,282.0,59.0
630,139.0,46.0,282.0,49.0
631,137.0,41.0,265.0,48.0
632,152.0,38.0,317.0,65.0
633,163.0,37.0,302.0,46.0
634,129.0,54.0,271.0,47.0
635,161.0,44.0,282.0,56.0
636,162.0,39.0,282.0,54.0
637,139.0,40.0,284.0,50.0
638,147.0,35.0,303.0,55.0
639,135.0,33.0,268.0,55.0
640,145.0,42.0,308.0,61.0
641,139.0,46.0,250.0,54.0
642,132.0,48.0,277.0,56.0
643,142.0,44.0,282.0,65.0
644,130.0,45.0,280.0,50.0
645,130.0,44.0,288.0,54.0
646,158.0,60.0,304.0,63.0
647,128.0,47.0,310.0,58.0
648,146.0,36.0,258.0,48.0
649,154.0,41.0,312.0,49.0
650,144.0,57.0,300.0,54.0
651,118.0,44.0,274.0,52.0
652,142.0,47.0,278.0,68.0
653,150.0,47.0,282.0,57.0
654,149.0,49.0,290.0,48.0
655,122.0,50.0,296.0,56.0
656,120.0,45.0,322.0,65.0
657,116.0,49.0,301.0,63.0
658,124.0,51.0,286.0,55.0
659,136.0,59.0,318.0,54.0
660,135.0,48.0,349.0,61.0
661,147.0,49.0,354.0,52.0
662,135.0,45.0,341.0,48.0
663,120.0,38.0,267.0,50.0
664,166.0,58.0,287.0,53.0
665,145.0,50.0,291.0,60.0
666,141.0,53.0,297.0,44.0
667,142.0,43.0,274.0,59.0
668,156.0,29.0,316.0,63.0
669,113.0,41.0,297.0,58.0
670,140.0,44.0,378.0,54.0
671,147.0,47.0,439.0,61.0
672,156.0,34.0,361.0,51.0
673,167.0,34.0,350.0,45.0
674,141.0,36.0,309.0,64.0
675,136.0,38.0,312.0,40.0
676,132.0,38.0,296.0,59.0
677,126.0,49.0,274.0,51.0
678,146.0,43.0,286.0,43.0
679,133.0,41.0,266.0,54.0
680,151.0,35.0,291.0,38.0
681,135.0,39.0,290.0,42.0
682,134.0,34.0,240.0,54.0
683,126.0,46.0,248.0,63.0
684,129.0,43.0,303.0,42.0
685,140.0,36.0,262.0,49.0
686,115.0,43.0,284.0,41.0
687,125.0,46.0,276.0,51.0
688,134.0,40.0,296.0,52.0
689,142.0,45.0,260.0,55.0
690,127.0,54.0,264.0,49.0
691,132.0,38.0,301.0,51.0
692,119.0,33.0,305.0,53.0
693,129.0,40.0,295.0,60.0
694,122.0,36.0,274.0,54.0
695,135.0,40.0,271.0,49.0
696,137.0,51.0,287.0,54.0
697,119.0,39.0,267.0,61.0
698,119.0,59.0,245.0,43.0
699,150.0,39.0,276.0,49.0
700,131.0,34.0,278.0,44.0
701,139.0,51.0,305.0,48.0
702,118.0,46.0,291.0,65.0
703,128.0,50.0,285.0,43.0
704,134.0,47.0,282.0,41.0
705,139.0,40.0,271.0,56.0
706,120.0,42.0,285.0,55.0
707,145.0,46.0,252.0,49.0
708,120.0,43.0,277.0,54.0
709,134.0,34.0,280.0,43.0
710,142.0,60.0,275.0,47.0
711,126.0,51.0,239.0,56.0
712,127.0,32.0,302.0,40.0
713,136.0,29.0,255.0,48.0
714,148.0,51.0,302.0,57.0
715,133.0,37.0,312.0,50.0
716,154.0,35.0,255.0,56.0
717,139.0,47.0,293.0,50.0
718,125.0,41.0,277.0,57.0
719,127.0,35.0,273.0,48.0
720,139.0,43.0,270.0,50.0
721,150.0,35.0,253.0,45.0
722,124.0,44.0,252.0,50.0
723,128.0,34.0,252.0,55.0
724,132.0,42.0,250.0,38.0
725,129.0,31.0,260.0,39.0
726,141.0,40.0,278.0,36.0
727,125.0,38.0,266.0,54.0
728,126.0,35.0,275.0,37.0
729,126.0,43.0,275.0,49.0
730,122.0,33.0,254.0,53.0
731,118.0,37.0,281.0,63.0
732,117.0,33.0,259.0,45.0
733,120.0,38.0,274.0,51.0
734,134.0,40.0,289.0,62.0
735,114.0,50.0,273.0,54.0
736,119.0,40.0,257.0,50.0
737,109.0,47.0,235.0,49.0
738,142.0,43.0,286.0,40.0
