,electricity-load-nyiso-capitl,electricity-load-nyiso-west,electricity-load-nyiso-millwd,electricity-load-nyiso-hud_valley,electricity-load-nyiso-north,electricity-load-nyiso-centrl,electricity-load-nyiso-mhk_valley,electricity-load-nyiso-nyc,electricity-load-nyiso-longil,electricity-load-nyiso-dunwod,electricity-load-nyiso-overall,electricity-load-nyiso-genese
146,1578.1533,1905.1451,382.6445,1162.1537,701.8602,2174.5032,1095.4094,5692.26,2399.6323,688.8898,19068.8429,1288.1914
147,1571.4968,1926.5658,378.0856,1202.7444,711.6691,2172.4158,1082.2566,5674.5786,2355.8945,687.7064,19044.1778,1280.7642
148,1576.5723,1901.5573,385.0429,1174.793,700.3539,2139.34,1092.5253,5681.703,2368.8826,706.089,18995.0653,1268.206
149,1570.8424,1890.7545,389.1848,1156.1793,702.622,2141.4758,1093.6525,5636.0176,2363.4004,684.4846,18900.3893,1271.7754
150,1551.6897,1909.5205,381.79,1173.2233,708.4432,2141.0203,1086.6187,5636.8564,2343.8406,676.2814,18872.189000000002,1262.9049
151,1557.4437,1864.1605,370.1373,1179.4426,711.1109,2139.4668,1080.422,5604.1777,2333.239,683.3112,18786.2537,1263.342
152,1550.3328,1895.4067,397.5387,1145.8478,694.7016,2124.8684,1078.988,5587.883,2321.5667,674.0975,18726.997999999996,1255.7668
153,1541.7556,1857.1355,397.8018,1143.5369,684.9821,2067.7402,1082.9371,5575.803,2324.5884,671.65,18602.815599999998,1254.885
154,1544.029,1866.9613,366.5735,1179.5125,691.5789,2111.786,1071.4181,5562.997,2315.8953,675.9207,18634.0998,1247.4275
155,1538.5697,1857.2749,362.3023,1156.19,704.9659,2092.075,1067.0671,5582.084,2300.654,668.293,18565.2862,1235.8103
156,1532.4863,1839.6597,365.2002,1130.549,690.3658,2094.5986,1073.9623,5539.723,2278.382,654.936,18433.099,1233.2361
157,1533.8755,1832.6703,368.647,1154.6696,694.4412,2060.7056,1071.3481,5518.194,2274.3452,660.0715,18397.017100000005,1228.0491
158,1543.5593,1870.437,389.8145,1093.9972,703.2642,2067.587,1045.0823,5478.8984,2256.1978,664.189,18334.870499999997,1221.8438
159,1501.9651,1834.6166,360.919,1109.5032,696.9148,2075.8345,1033.8328,5416.8574,2235.914,654.5542,18127.3327,1206.4211
160,1513.5424,1805.6353,363.3306,1113.6978,694.322,2052.9958,1037.2943,5447.4795,2201.4773,647.9567,18085.5547,1207.823
161,1499.8649,1852.126,367.9852,1097.0764,703.7139,2059.8118,1027.6825,5414.1465,2204.7507,641.1029,18071.577899999997,1203.3171
162,1493.8287,1807.0945,369.9607,1124.1282,694.6748,2000.0242,1026.1268,5372.3574,2196.731,638.4924,17921.5466,1198.1279
