,hospital-er-wait-minutes-columbus_midtown_peds,hospital-er-wait-minutes-columbus_northside,hospital-er-wait-minutes-columbus_midtown
876,15.0,36.0,40.0
877,15.0,36.0,40.0
878,21.0,30.0,80.0
879,21.0,30.0,80.0
880,25.0,20.0,71.0
881,25.0,20.0,71.0
882,27.0,2.0,58.0
883,27.0,2.0,58.0
884,0.0,3.0,65.0
885,0.0,3.0,65.0
886,0.0,4.0,92.0
887,0.0,4.0,92.0
888,3.0,4.0,125.0
889,3.0,4.0,125.0
890,12.0,12.0,116.0
891,12.0,12.0,116.0
892,9.0,18.0,85.0
893,9.0,18.0,85.0
894,9.0,7.0,73.0
895,9.0,7.0,73.0
896,20.0,15.0,79.0
897,20.0,15.0,79.0
898,12.0,18.0,75.0
899,12.0,18.0,75.0
900,21.0,12.0,69.0
901,21.0,12.0,69.0
902,19.0,8.0,45.0
903,19.0,8.0,45.0
904,13.0,10.0,59.0
905,13.0,10.0,59.0
906,17.0,12.0,62.0
907,17.0,12.0,62.0
908,17.0,13.0,62.0
909,17.0,13.0,62.0
910,9.0,1.0,64.0
911,9.0,1.0,64.0
912,14.0,11.0,63.0
913,14.0,11.0,63.0
914,12.0,8.0,46.0
915,12.0,8.0,46.0
916,16.0,0.0,50.0
917,16.0,0.0,50.0
918,18.0,0.0,38.0
919,18.0,0.0,38.0
920,10.0,7.0,45.0
921,10.0,7.0,45.0
922,1.0,4.0,60.0
923,1.0,4.0,60.0
924,1.0,1.0,26.0
925,1.0,1.0,26.0
926,0.0,0.0,19.0
927,0.0,0.0,19.0
928,6.0,0.0,20.0
929,6.0,0.0,20.0
930,8.0,0.0,24.0
931,8.0,0.0,24.0
932,8.0,0.0,17.0
933,8.0,0.0,17.0
934,1.0,14.0,19.0
935,1.0,14.0,19.0
936,1.0,14.0,19.0
937,1.0,14.0,19.0
938,4.0,16.0,12.0
939,4.0,16.0,12.0
940,16.0,25.0,16.0
941,16.0,25.0,16.0
942,16.0,15.0,22.0
943,16.0,15.0,22.0
944,0.0,5.0,22.0
945,0.0,5.0,22.0
946,0.0,0.0,20.0
947,0.0,0.0,20.0
948,0.0,0.0,28.0
949,0.0,0.0,28.0
950,0.0,0.0,31.0
951,0.0,0.0,31.0
952,2.0,2.0,30.0
953,2.0,2.0,30.0
954,9.0,3.0,31.0
955,9.0,3.0,31.0
956,12.0,5.0,19.0
957,12.0,5.0,19.0
958,15.0,4.0,21.0
959,15.0,4.0,21.0
960,0.0,7.0,34.0
961,0.0,7.0,34.0
962,4.0,17.0,42.0
963,4.0,17.0,42.0
964,6.0,20.0,57.0
965,6.0,20.0,57.0
966,6.0,22.0,70.0
967,6.0,22.0,70.0
968,11.0,29.0,73.0
969,11.0,29.0,73.0
970,11.0,30.0,74.0
971,11.0,30.0,74.0
972,0.0,11.0,66.0
973,0.0,11.0,66.0
974,9.0,24.0,71.0
975,9.0,24.0,71.0
