,hospital-er-wait-minutes-columbus_midtown_peds,hospital-er-wait-minutes-columbus_midtown,hospital-er-wait-minutes-columbus_northside
945,5.0,127.0,0.0
946,5.0,127.0,0.0
947,9.0,105.0,1.0
948,9.0,105.0,1.0
949,8.0,96.0,13.0
950,8.0,96.0,13.0
951,11.0,77.0,11.0
952,11.0,77.0,11.0
953,14.0,77.0,14.0
954,14.0,77.0,14.0
955,15.0,83.0,14.0
956,15.0,83.0,14.0
957,14.0,86.0,13.0
958,14.0,86.0,13.0
959,18.0,106.0,20.0
960,18.0,106.0,20.0
961,16.0,125.0,23.0
962,16.0,125.0,23.0
963,10.0,108.0,22.0
964,10.0,108.0,22.0
965,9.0,110.0,27.0
966,9.0,110.0,27.0
967,10.0,148.0,37.0
968,10.0,148.0,37.0
969,10.0,148.0,37.0
970,11.0,177.0,44.0
